From,To,R,X
0,24,0.009265836460042273,0.0001
24,1,0.012100194494015575,0.0001
24,2,0.022751497343173662,0.0548585789700634
24,25,0.026220056382458334,0.02308410870869474
25,26,0.0001,0.0001
26,28,0.0001,0.0078034111172317995
28,3,0.0001,0.0001
28,20,0.03068662371903633,0.052410024325092126
20,4,0.049371420751714315,0.33069588290225355
20,5,0.017889921604993305,0.0001
20,6,0.17210547399286855,0.005854592351816135
24,23,0.017346423956968813,0.0001892567115308329
23,21,0.05178761482744874,0.0001
21,22,0.0247829558433224,0.0001
22,7,0.1182025219996449,0.0001
22,8,0.04925972678460245,0.0001
24,9,0.0001,0.006036744740374198
23,10,0.10504188987861883,0.2031197369840731
20,11,0.0001,0.0001
22,27,0.0001,0.044262083551545595
27,12,0.036153003462772657,0.12846478735240296
25,13,0.08192321832102815,0.0001
24,14,0.0001,0.0001
26,15,0.0001,0.13270064820001326
26,16,0.0001,0.3349356303352316
21,17,0.0001,0.10367309283549593
21,18,0.0389581870443154,0.004898232647847177
27,19,0.02785428649442023,0.0001
