From,To,R,X
0,21,0.0038139927316618366,0.0001
21,22,0.0001,0.026060812409717554
22,23,0.010205016642532592,0.019371304175565977
23,1,0.0012372329287782288,0.03664015169023947
23,17,0.09970296471945764,0.0001
17,2,0.13895944590953718,0.10334132576533013
21,20,0.027797251540946998,0.0001
20,18,0.009588387983446757,0.0001
18,19,0.005144226386414335,0.004731516172770166
19,24,0.0600348673331676,0.0001
24,3,0.0001,0.0001
24,25,0.0001,0.0001
25,26,0.03664015169023947,0.0001
26,4,0.0001,0.15757798330624104
25,5,0.07193693466961412,0.0001
26,6,0.0001,0.0001
19,7,0.15845901444000662,0.3635891597479785
17,8,0.0194796816128748,0.0001
26,9,0.013262465789745635,0.0001
20,10,0.06403266088836226,0.045459715153662594
18,11,0.042258806655896514,0.0001
21,12,0.0001,0.016569019308903355
24,13,0.03225020969687817,0.2662936915604767
17,14,0.005872096908758269,0.0001
22,15,0.09596176294587425,0.0001
19,16,0.05079375308018511,0.0001
