From,To,R,X
0,19,0.007590777989454424,0.0001
19,20,0.0001,0.02361337463681034
20,21,0.012028002826610183,0.019673730372400007
21,23,0.0001,0.0001
23,1,0.11881786214086142,0.0001
23,14,0.0001,0.0001
14,2,0.062339199801847815,0.0001
21,3,0.09646490036621767,0.0001
20,4,0.0001,0.0001
19,18,0.006866321871834686,0.030350160157750692
18,15,0.04541122997175018,0.22312830192265848
15,5,0.08058773009643334,0.21095444898378263
15,16,0.029277390063305122,0.0001
16,17,0.0001,0.0001
17,22,0.008259184870563251,0.0001
22,6,0.0001,0.0001
22,7,0.04351537879699009,0.41137377025253363
14,8,0.0001,0.00015454020305248771
18,9,0.0001,0.21611685301535108
22,10,0.0001,0.23155732641966228
17,11,0.0541341440839148,0.1244095361178366
20,12,0.0001,0.0001
16,13,0.046475068742217594,0.14042112276675045
