From,To,R,X
0,18,0.0171228857031733,0.014502758523510165
18,19,0.0001,0.007575205336756078
19,16,0.027391999470160654,0.0021106605507248554
16,15,0.028031197351833445,0.0005999135512886185
15,14,0.027066760233440214,0.0001
14,13,0.02752299600986318,0.0067487047082201304
13,1,0.06490288131321155,0.0001
16,2,0.0001,0.0001
15,3,0.025075724626837312,0.3605692690334657
19,4,0.0006028000933526678,0.0001
15,5,0.0001,0.03995556911608592
15,6,0.0001,0.17449238888370452
15,7,0.022565633182803538,0.0275953522908759
18,17,0.051662105542142844,0.0001
17,8,0.07842480178667366,0.0001
17,9,0.0007601207425564378,0.0001
14,10,0.01685317125376949,0.04053515136385348
17,11,0.0001,0.0014732472428275487
13,12,0.011469789414823304,0.1074091636133836
