From,To,R,X
0,15,0.0177702217152416,0.02560143090108305
15,14,0.008516582409699384,0.0001
14,10,0.04765889065241922,0.008466069504099335
10,1,0.0020454324565415878,0.0001
10,13,0.029034241310128613,0.0001
13,12,0.0001,0.07844681781595662
12,11,0.0001,0.0001
11,2,0.05034304769118448,0.0001
11,3,0.06465307866479483,0.0001
15,16,0.0001,0.012690234646504109
16,4,0.03893135692583455,0.0001
16,5,0.041954096709656254,0.043915622953893806
14,6,0.0001,0.0001
12,7,0.05252800432341741,0.08496572059417673
13,8,0.0001,0.0001
14,9,0.014547038826546788,0.05046714617572817
