From,To,R,X
0,20,0.010445111169376402,0.0001
20,21,0.005155042837132658,0.020125641252733462
21,1,0.03091047489979047,0.04336822629046026
21,2,0.14218068691539043,0.044607232901478194
20,19,0.011170649399462067,0.027413210246461643
19,18,0.012702849771826051,0.0001
18,3,0.02128523142749354,0.0001
20,23,0.04336822629046026,0.0001
23,4,0.054042891252887505,0.08857386720371073
18,17,0.007860069782195975,0.10880667236592098
17,5,0.005466942028632098,0.09078420632814858
23,6,0.0001,0.19039044103522276
21,22,0.016531940632689698,0.003008733752234764
22,7,0.0001,0.013903886661261376
20,8,0.0001,0.0881704808489908
21,9,0.0001,0.03765766341313695
19,10,0.0001,0.05460400401502721
18,11,0.16945304409398992,0.2315210625406798
22,12,0.0666688517819371,0.0001
17,13,0.08504915584434751,0.0001
18,14,0.05835126740808917,0.0001
22,15,0.06473720262854296,0.0001
18,16,0.0001,0.0001
