From,To,R,X
0,19,0.0124930281627476,0.0086297176748986
19,21,0.0212458609423114,0.1445034498404643
21,22,0.0785767380990473,0.0012055518875921
22,1,0.1507248083990934,0.0785767380990473
19,20,0.0001,0.0186535485394593
20,2,0.0253374411745444,0.0001
20,3,0.0001,0.0001
22,4,0.0930106259928,0.3243420262787714
19,18,0.0001,0.0001
18,17,0.0384229686961069,0.0001
17,14,0.0276516458483891,0.1786072823913369
14,15,0.0552719368942961,0.0001
15,5,0.0001,0.0001
14,16,0.034832966991322,0.0001
16,6,0.0220971119154973,0.0095109431373228
22,7,0.0001,0.0417310660642373
21,8,0.0001,0.1643105358965644
15,9,0.0001,0.0989438568650577
21,10,0.0099277618285898,0.0001
18,11,0.0001,0.0774217324829757
16,12,0.0001,0.2221759260548385
17,13,0.0001,0.0402199392592694
0,42,0.0104451111693764,0.0001
42,43,0.0051550428371326,0.0201256412527334
43,23,0.0309104748997904,0.0433682262904602
43,24,0.1421806869153904,0.0446072329014781
42,41,0.011170649399462,0.0274132102464616
41,40,0.012702849771826,0.0001
40,25,0.0212852314274935,0.0001
42,45,0.0433682262904602,0.0001
45,26,0.0540428912528875,0.0885738672037107
40,39,0.0078600697821959,0.1088066723659209
39,27,0.005466942028632,0.0907842063281485
45,28,0.0001,0.1903904410352227
43,44,0.0165319406326896,0.0030087337522347
44,29,0.0001,0.0139038866612613
42,30,0.0001,0.0881704808489908
43,31,0.0001,0.0376576634131369
41,32,0.0001,0.0546040040150272
40,33,0.1694530440939899,0.2315210625406798
44,34,0.0666688517819371,0.0001
39,35,0.0850491558443475,0.0001
40,36,0.0583512674080891,0.0001
44,37,0.0647372026285429,0.0001
40,38,0.0001,0.0001
0,80,0.0942737200434844,0.0001
80,83,0.027168099371094,0.0001
83,84,0.0876629591653741,0.0415078097136396
84,46,0.0260489677436192,0.0876629591653741
80,79,0.0072975911352316,0.0001
79,75,0.0289590565869888,0.0001
75,47,0.1366587245177461,0.0001
80,81,0.0001,0.2024195349181654
81,48,0.3026552184526651,0.1219554456311528
75,78,0.0001,0.0001
78,77,0.0755001173138226,0.0001
77,49,0.0001,0.0001
75,50,0.0001,0.0001
80,51,0.1616984468244185,0.4386936456499814
77,52,0.0001,0.1086393677791222
75,76,0.0277878256262338,0.0001
76,53,0.2008305928177021,0.5843252890198207
83,54,0.0001,0.0001
76,55,0.1925072194129402,0.1460069417988652
83,56,0.2198505901149173,0.0001
84,57,0.0001,0.0001
81,82,0.0001,0.01667434391306
82,58,0.0001,0.0052070056611991
75,59,0.0001,0.0069953190431288
78,60,0.0001,0.0001
81,61,0.0311791713746661,0.1150140496729293
77,62,0.0453537256900334,0.0642471426136689
79,63,0.0850014066406876,0.0001
81,64,0.0001,0.1655268501302849
77,65,0.0932553901320357,0.0209925257255602
76,66,0.0001,0.0001
82,67,0.0063584412501039,0.0654828657780725
79,68,0.0001,0.0001
76,69,0.0001,0.0765805680800158
78,70,0.0001,0.0001
76,71,0.0001,0.0001
83,72,0.2134189251152281,0.0001
76,73,0.0001,0.0001
76,74,0.1813485608123144,0.0001
