From,To,R,X
0,19,0.012493028162747664,0.008629717674898615
19,21,0.02124586094231148,0.14450344984046432
21,22,0.07857673809904736,0.0012055518875921428
22,1,0.15072480839909347,0.07857673809904736
19,20,0.0001,0.018653548539459396
20,2,0.025337441174544402,0.0001
20,3,0.0001,0.0001
22,4,0.09301062599280005,0.3243420262787714
19,18,0.0001,0.0001
18,17,0.03842296869610693,0.0001
17,14,0.02765164584838918,0.1786072823913369
14,15,0.05527193689429614,0.0001
15,5,0.0001,0.0001
14,16,0.034832966991322,0.0001
16,6,0.022097111915497396,0.009510943137322881
22,7,0.0001,0.041731066064237335
21,8,0.0001,0.1643105358965644
15,9,0.0001,0.09894385686505779
21,10,0.009927761828589829,0.0001
18,11,0.0001,0.07742173248297572
16,12,0.0001,0.22217592605483855
17,13,0.0001,0.04021993925926947
