From,To,R,X
0,46,0.09353352666756759,0.009363531886701493
46,38,0.005827353309923814,0.0001
38,39,0.049085118869998924,0.01562300923453838
39,40,0.0001,0.0001
40,41,0.0001,0.0001
41,42,0.0001,0.0001
42,43,0.04881981567178864,0.0001
43,44,0.03640069709457913,0.0001
44,45,0.010087919479449512,0.0001
45,1,0.23947063270049904,0.0001
45,2,0.0001,0.0001
41,3,0.0001,0.01234647607100846
42,4,0.20703503025734446,0.14677584881414155
40,5,0.0001,0.0001
46,54,0.0001,0.0001
54,53,0.013121745742848469,0.0001
53,52,0.025935901380879214,0.008857540229140962
52,6,0.07615309203271031,0.7052699284734127
38,7,0.06004597533231298,0.047309826985413014
46,47,0.06569431064983045,0.22903662710126857
47,48,0.0001,0.005439442966042951
48,49,0.0001,0.0001
49,8,0.15481222858128968,0.024285112740481774
49,9,0.18568316913534413,0.03927928826394367
39,10,0.17265117477488637,0.0001
45,11,0.06739425256666022,0.0001
45,12,0.027771009502388297,0.0001
52,51,0.0014625828376405561,0.0001
51,50,0.045056096228720845,0.16180157494881467
50,34,0.06373031130329043,0.050590878290800924
34,13,0.11791689029635152,0.0001
53,14,0.10143169538813465,0.0001
48,15,0.0001,0.0001
51,16,0.0001,0.02014871376043782
46,37,0.0627863232311401,0.13051071934561378
37,17,0.03254075882410817,0.2372923685836914
54,18,0.0001,0.21261421418805612
47,19,0.18151190070794315,0.0001
44,20,0.0001,0.0001
44,21,0.0001,0.0001
34,35,0.0001,0.0001
35,36,0.0001,0.0001
36,22,0.023578092741448228,0.31510374109860456
53,23,0.0001,0.0001
50,24,0.126336268290769,0.0001
50,25,0.0001,0.0001
51,26,0.22803019016350995,0.23099019026849663
38,27,0.09037957480273358,0.0001
43,28,0.0001,0.0001
52,29,0.0001,0.0001
37,30,0.21993124598036104,0.0001
52,31,0.0001,0.0001
35,32,0.09363594983828387,0.40490800132367216
36,33,0.0001,0.0001
