From,To,R,X
0,22,0.006192718101553363,0.09694889753972197
22,28,0.022046408367765682,0.0001
28,27,0.03904515028439293,0.0001
27,1,0.003363666740253728,0.022046408367765682
28,2,0.023313582109977495,0.0001
27,3,0.0001,0.03708626710383708
22,18,0.03665846917784042,0.029862839811232618
18,19,0.0001,0.0001
19,20,0.05912697062583147,0.0001
20,4,0.1393250705866234,0.1834912527880064
22,23,0.028673886300788213,0.02283073156478817
23,24,0.041152021918746506,0.0001
24,5,0.06309843158739238,0.0001
20,21,0.0001,0.0001
21,6,0.27159775800062175,0.03421720306045884
19,7,0.0001,0.0001
21,8,0.03201111049209249,0.16529507461936874
27,26,0.019788190126737375,0.0001
26,25,0.054694584132083925,0.003922088014553245
25,9,0.07200480341488692,0.0001
23,10,0.010294165669052105,0.0001
27,11,0.018893336278520436,0.0001
24,12,0.0001,0.0001
26,13,0.014191175133942338,0.1917342208743605
18,14,0.0001,0.04758304957913154
25,15,0.04679634495767582,0.44291867232477194
25,16,0.018210852094501916,0.0001
26,17,0.036897824758957316,0.0001
